1978;Rayo Vallecano;;
1978;Real Sociedad;;
1978;Salamanca;;
1978;Sevilla;;
1978;Valencia;;
1978;Zaragoza;;
1978;Almeria (A.D.);;
1978;Betis;;
1978;Castellon;;
1978;Cadiz;;
1978;Ferrol;;
1978;Getafe;;
1978;Jaen;;
1978;Malaga (C.D.);;
1978;Osasuna;;
1978;Terrassa;;
1978;Alaves;;
1978;Algeciras;;
1978;Barakaldo;;
1978;Dptivo. Corugna;;
1978;Elche;;
1978;Granada;;
1978;Murcia;;
1978;Real Madrid B;;
1978;Sabadell;;
1978;Valladolid;;
1979;Betis;;
1979;Burgos;;
1979;Espanyol;;
1979;Hercules;;
1979;Real Madrid;;
1979;Real Sociedad;;
1979;Salamanca;;
1979;Sporting Gijon;;
1979;Zaragoza;;
1979;Almeria (A.D.);;
1979;At. Madrid;;
1979;Ath. Bilbao;;
1979;Barcelona;;
1979;Las Palmas;;
1979;Malaga (C.D.);;
1979;Rayo Vallecano;;
1979;Sevilla;;
1979;Valencia;;
1979;Alaves;;
1979;Castellon;;
1979;Celta;;
1979;Getafe;;
1979;Granada;;
1979;Levante;;
1979;Murcia;;
1979;Palencia;;
1979;Rec. Huelva;;
1979;Sabadell;;
1979;Algeciras;;
1979;Cadiz;;
1979;Dptivo. Corugna;;
1979;Elche;;
1979;Gimn. Tarragon;;
1979;Osasuna;;
1979;Oviedo;;
1979;Rac. Santander;;
1979;Real Madrid B;;
1979;Valladolid;;
1980;Almeria (A.D.);;
1980;At. Madrid;;
1980;Ath. Bilbao;;
1980;Espanyol;;
1980;Murcia;;
1980;Osasuna;;
1980;Sevilla;;
1980;Sporting Gijon;;
1980;Valencia;;
1980;Barcelona;;
1980;Betis;;
1980;Hercules;;
1980;Las Palmas;;
1980;Real Madrid;;
1980;Real Sociedad;;
1980;Salamanca;;
1980;Valladolid;;
1980;Zaragoza;;
1980;Burgos;;
1980;Ceuta;;
1980;Elche;;
1980;Getafe;;
1980;Palencia;;
1980;Rac. Santander;;
1980;Rayo Vallecano;;
1980;Real Madrid B;;
1980;Rec. Huelva;;
